video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
0PU21.mp4,30.900194,1,2,0.0,0.0,0.0,1.0,0.16342,0.16342,0.154152,0.137258,0.137258,0.137258,1.0,0.0,0.0,0.0,0.0,30.565051
30I35.mp4,23.815458,5,11,1.0,1.0,0.0,1.0,0.624666,0.622651,0.430255,0.538524,0.538524,0.538524,1.0,0.889297,0.497698,0.0,0.462332,23.023
318CP.mp4,32.4,4,14,1.0,0.5,0.0,1.0,0.588737,0.533773,0.368932,0.656471,0.713399,0.713399,0.891618,0.973214,0.319444,0.0,0.430886,30.366667
39E0I.mp4,31.5315,1,12,1.0,1.0,1.0,1.0,0.988663,0.988663,0.141888,0.201746,0.201746,0.201746,1.0,1.0,1.0,1.0,1.0,31.2312
4U8WV.mp4,32.224532,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55NRK.mp4,30.59555,1,1,0.0,0.0,0.0,1.0,0.274342,0.274342,0.274342,0.274342,0.305351,0.305351,0.72984,0.0,0.0,0.0,0.0,27.486911
5IPJA.mp4,31.200363,1,9,1.0,1.0,0.0,1.0,0.516877,0.516877,0.343652,0.233965,0.233965,0.233965,1.0,0.948413,0.5,0.0,0.482804,29.952349
5VUT9.mp4,26.033333,5,11,1.0,1.0,0.8,1.0,0.875,0.79027,0.567174,0.78125,0.78125,0.78125,1.0,0.765258,0.748571,0.428571,0.647467,25.6
7NXWU.mp4,24.893336,1,5,1.0,1.0,1.0,1.0,0.788898,0.788898,0.498351,0.367057,0.367057,0.367057,1.0,1.0,1.0,0.5,0.833333,24.253318
8UCK1.mp4,14.866667,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9POJB.mp4,31.406375,4,15,1.0,0.75,0.5,1.0,0.806293,0.661801,0.518484,0.60927,0.60927,0.60927,1.0,0.653643,0.475784,0.19881,0.442746,31.031
9RRED.mp4,30.697333,7,15,1.0,0.857143,0.285714,1.0,0.910433,0.810746,0.353267,0.554099,0.58268,0.58268,0.918677,0.433526,0.317574,0.163265,0.304788,30.4304
A2X7Q.mp4,18.938547,2,7,1.0,1.0,1.0,1.0,0.893595,0.834937,0.556356,0.672125,0.680635,0.680635,0.981737,0.833929,0.6625,0.6625,0.719643,18.469274
A33VQ.mp4,30.933333,2,6,1.0,0.5,0.0,1.0,0.656738,0.573661,0.506522,0.559468,0.559468,0.559468,1.0,0.839583,0.266667,0.0,0.36875,30.4
AX46Z.mp4,31.776891,4,8,1.0,1.0,0.75,1.0,0.93157,0.868535,0.600902,0.768435,0.768435,0.768435,1.0,0.793006,0.612103,0.279167,0.561425,31.374652
BM9NZ.mp4,33.714286,4,13,1.0,1.0,1.0,1.0,0.804482,0.781363,0.427715,0.656167,0.656167,0.656167,1.0,0.648958,0.605556,0.463194,0.572569,33.07563
CD9GP.mp4,31.246006,1,14,1.0,1.0,1.0,1.0,0.738288,0.738288,0.155466,0.178047,0.178047,0.178047,1.0,0.319444,0.208333,0.208333,0.24537,30.364217
