video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
0J471.mp4,21.755067,4,10,1.0,0.75,0.0,1.0,0.649999,0.640477,0.430769,0.616948,0.657293,0.657293,0.909511,0.88625,0.850694,0.0,0.578981,21.588233
0QAZ7.mp4,30.363667,2,10,0.5,0.0,0.0,1.0,0.366668,0.28981,0.103796,0.174921,0.188095,0.188095,0.714081,0.5,0.0,0.0,0.166667,28.8288
1F4JZ.mp4,31.985905,1,3,0.0,0.0,0.0,1.0,0.242735,0.242735,0.213901,0.211582,0.211582,0.211582,1.0,0.0,0.0,0.0,0.0,31.680954
1P7GJ.mp4,42.708333,1,17,1.0,1.0,1.0,1.0,0.903141,0.903141,0.166374,0.171131,0.171131,0.171131,1.0,0.601326,0.646465,0.333333,0.527041,42.0
2KGV3.mp4,30.8,6,5,0.666667,0.333333,0.166667,0.666667,0.783728,0.63808,0.491792,0.527509,0.527509,0.527509,1.0,0.95,0.638889,0.666667,0.751852,30.72
3MV13.mp4,24.865042,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3T785.mp4,30.7,2,12,1.0,1.0,0.5,1.0,0.916728,0.916728,0.209025,0.194305,0.194305,0.194305,1.0,0.381151,0.381151,0.25,0.337434,30.366667
3W1GP.mp4,35.068367,8,2,0.125,0.125,0.0,0.25,0.544327,0.250226,0.411737,0.776281,0.811576,0.811576,0.94695,0.25,0.25,0.0,0.166667,34.4344
4NHRT.mp4,24.095662,2,10,1.0,1.0,0.0,1.0,0.662331,0.62753,0.417307,0.481041,0.481041,0.481041,1.0,0.405622,0.264534,0.0,0.223385,23.07415
4YBN9.mp4,33.433333,2,17,1.0,0.5,0.5,1.0,0.802375,0.645986,0.392459,0.631312,0.631312,0.631312,1.0,0.753604,0.5,0.5,0.584535,32.8
5D85P.mp4,12.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5EEXF.mp4,33.5,2,13,1.0,1.0,0.5,1.0,0.879451,0.823447,0.201345,0.19829,0.19829,0.19829,1.0,0.41756,0.407143,0.3125,0.379067,32.8
5GHV3.mp4,34.4,2,9,1.0,1.0,0.5,1.0,0.778721,0.665033,0.401839,0.398763,0.398763,0.398763,1.0,0.95754,0.866667,0.5,0.774735,33.6
65ULK.mp4,30.560549,1,1,1.0,0.0,0.0,1.0,0.369531,0.369531,0.369531,0.369531,0.417238,0.417238,0.763698,1.0,0.0,0.0,0.333333,27.455467
74WSB.mp4,30.749655,1,6,1.0,0.0,0.0,1.0,0.479111,0.479111,0.462081,0.317744,0.317744,0.317744,1.0,1.0,0.0,0.0,0.333333,30.537589
7E2AJ.mp4,16.295115,5,4,0.6,0.4,0.0,0.8,0.684261,0.526727,0.55841,0.859442,0.924147,0.924147,0.92467,0.75,0.5,0.0,0.416667,15.809729
8O07M.mp4,30.28,2,12,1.0,1.0,0.5,1.0,0.70707,0.70707,0.239114,0.352189,0.352189,0.352189,1.0,0.415159,0.340079,0.142857,0.299365,29.813556
8V8HC.mp4,34.020446,3,1,0.333333,0.333333,0.333333,0.333333,0.846698,0.81431,0.846698,0.985466,0.985466,0.985466,1.0,1.0,1.0,1.0,1.0,7.206301
9J7EW.mp4,30.811868,4,1,0.25,0.25,0.0,0.25,0.52222,0.449161,0.52222,0.78522,0.78522,0.78522,1.0,0.75,0.5,0.0,0.416667,27.388327
AGGSE.mp4,28.226464,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AWR2R.mp4,35.12786,1,17,1.0,1.0,1.0,1.0,0.80345,0.80345,0.19011,0.25955,0.25955,0.25955,1.0,0.504722,0.355556,0.366667,0.408981,34.690444
BEAAA.mp4,28.083333,7,9,0.285714,0.285714,0.142857,0.285714,0.867452,0.561979,0.289744,0.38923,0.38923,0.38923,1.0,0.902551,0.145805,0.052381,0.366912,28.0
D0AGO.mp4,39.190072,4,3,0.5,0.25,0.0,0.75,0.500074,0.500074,0.368166,0.442195,0.442195,0.442195,1.0,0.75,0.375,0.0,0.375,35.271065
D7W4E.mp4,30.733333,3,15,1.0,1.0,0.666667,1.0,0.85808,0.775827,0.443446,0.57206,0.57206,0.57206,1.0,0.653981,0.464815,0.219444,0.44608,30.4
DLOS7.mp4,41.470588,4,22,1.0,0.75,0.25,1.0,0.751163,0.649551,0.295874,0.456829,0.456829,0.456829,1.0,0.855051,0.6625,0.208333,0.575295,40.941176
E002I.mp4,23.766667,9,10,1.0,0.888889,0.555556,1.0,0.908028,0.871728,0.685887,0.8675,0.8675,0.8675,1.0,0.806305,0.81358,0.696296,0.772061,22.366667
EF7Q9.mp4,28.465116,3,14,1.0,1.0,0.666667,1.0,0.978946,0.936864,0.402486,0.474073,0.474073,0.474073,1.0,0.383933,0.275968,0.101445,0.253782,27.627907
FG9NT.mp4,27.266667,2,5,1.0,1.0,0.0,1.0,0.53546,0.53546,0.364404,0.345818,0.345818,0.345818,1.0,0.805556,0.75,0.0,0.518519,27.2
FRGXE.mp4,21.561562,2,6,0.5,0.5,0.0,1.0,0.566793,0.301963,0.360116,0.308191,0.351255,0.351255,0.715406,0.5,0.5,0.0,0.333333,20.18018
G2AMK.mp4,27.354409,1,6,0.0,0.0,0.0,1.0,0.157632,0.157632,0.026272,0.112669,0.116176,0.116176,0.788686,0.0,0.0,0.0,0.0,27.154742
HG7C2.mp4,29.8298,3,15,1.0,0.333333,0.333333,1.0,0.797093,0.602894,0.397771,0.819133,0.857984,0.857984,0.947615,0.568368,0.11746,0.02381,0.236546,29.596233
HQ8BB.mp4,16.133333,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HS14N.mp4,31.097733,3,3,0.333333,0.0,0.0,1.0,0.452272,0.299459,0.419662,0.4566,0.4566,0.4566,1.0,0.333333,0.0,0.0,0.111111,30.4304
IIL9C.mp4,32.321878,4,10,0.5,0.5,0.25,0.75,0.850722,0.621157,0.231115,0.410191,0.410191,0.410191,1.0,0.475992,0.458333,0.5,0.478108,32.187762
KS5JT.mp4,29.266667,3,14,0.666667,0.333333,0.333333,1.0,0.715383,0.715383,0.087156,0.19789,0.19789,0.19789,1.0,0.9,1.0,1.0,0.966667,28.8
LLTBQ.mp4,20.610504,3,4,0.666667,0.0,0.0,1.0,0.495326,0.487248,0.452687,0.639086,0.639086,0.639086,1.0,1.0,0.0,0.0,0.333333,20.189881
MB281.mp4,28.633333,4,15,1.0,1.0,0.25,1.0,0.834165,0.716182,0.322865,0.474054,0.489397,0.489397,0.937968,0.686186,0.7375,0.083333,0.50234,28.0
ONVGA.mp4,14.040562,1,3,1.0,1.0,0.0,1.0,0.664966,0.664966,0.605158,0.517196,0.517196,0.517196,1.0,1.0,1.0,0.0,0.666667,12.960518
OQSXX.mp4,28.5285,3,4,0.666667,0.0,0.0,0.666667,0.486752,0.464198,0.302118,0.570547,0.570547,0.570547,1.0,0.361111,0.0,0.0,0.12037,25.592233
P3CLM.mp4,41.7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PC7H2.mp4,31.183012,4,1,0.25,0.0,0.0,0.25,0.442075,0.433891,0.442075,0.442075,0.442075,0.442075,1.0,1.0,0.0,0.0,0.333333,30.546624
