video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
0KTWY.mp4,23.1231,1,9,1.0,1.0,0.0,1.0,0.6967,0.6967,0.293247,0.476967,0.476967,0.476967,1.0,0.32629,0.242063,0.0,0.189451,21.588233
15RTV.mp4,33.890311,2,10,1.0,1.0,0.0,1.0,0.697472,0.659259,0.516993,0.525473,0.525473,0.525473,1.0,0.830357,0.777778,0.0,0.536045,32.340655
1L5D3.mp4,30.816892,4,1,0.25,0.25,0.0,0.25,0.521921,0.329544,0.521921,0.724677,0.834255,0.846561,0.834255,0.25,0.25,0.0,0.166667,27.392793
1XOQ8.mp4,29.825737,1,6,1.0,0.0,0.0,1.0,0.353889,0.353889,0.14908,0.176125,0.176125,0.176125,1.0,0.583333,0.0,0.0,0.194444,28.954424
21O5C.mp4,30.498023,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30K2N.mp4,22.721893,2,1,0.0,0.0,0.0,0.5,0.243856,0.234753,0.243856,0.401798,0.401798,0.401798,1.0,0.0,0.0,0.0,0.0,22.153846
3LMTS.mp4,30.313169,2,7,1.0,1.0,1.0,1.0,0.764597,0.762175,0.389949,0.435735,0.454641,0.454641,0.912882,0.524107,0.328968,0.279167,0.377414,29.710921
41T8C.mp4,21.266667,2,6,1.0,1.0,0.5,1.0,0.776127,0.663895,0.566751,0.712906,0.712906,0.712906,1.0,0.735417,0.725,0.35,0.603472,20.766667
4H61U.mp4,30.433333,1,1,0.0,0.0,0.0,1.0,0.289247,0.289247,0.289247,0.289247,0.32062,0.32062,0.747222,0.0,0.0,0.0,0.0,27.966667
4K0BP.mp4,30.764067,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68OG0.mp4,29.7,1,14,1.0,1.0,1.0,1.0,0.87252,0.87252,0.232487,0.246516,0.246516,0.246516,1.0,1.0,1.0,0.5,0.833333,29.6
7835X.mp4,30.766667,3,15,0.666667,0.666667,0.333333,1.0,0.895165,0.895165,0.116765,0.187474,0.187474,0.187474,1.0,0.547619,0.547619,0.214286,0.436508,30.4
8H570.mp4,30.8,2,16,1.0,0.5,0.5,1.0,0.896516,0.667858,0.346739,0.700555,0.700555,0.700555,1.0,0.546542,0.121429,0.1,0.25599,30.4
8TSU4.mp4,12.633333,1,1,1.0,0.0,0.0,1.0,0.45961,0.45961,0.45961,0.45961,0.45961,0.45961,1.0,1.0,0.0,0.0,0.333333,11.966667
9BQ7M.mp4,32.955542,1,2,0.0,0.0,0.0,1.0,0.287182,0.287182,0.255107,0.200728,0.200728,0.200728,1.0,0.0,0.0,0.0,0.0,32.382109
AB2V6.mp4,30.263567,4,8,0.75,0.75,0.25,1.0,0.725208,0.652653,0.53273,0.594824,0.594824,0.594824,1.0,0.75625,0.591667,0.083333,0.477083,26.393033
ATV2F.mp4,30.6,4,12,1.0,1.0,0.75,1.0,0.867045,0.839363,0.451371,0.608251,0.608251,0.608251,1.0,1.0,1.0,0.958333,0.986111,29.76
B4TWR.mp4,30.9,2,14,1.0,1.0,1.0,1.0,0.822999,0.819959,0.220762,0.220482,0.220482,0.220482,1.0,0.715179,0.4375,0.4375,0.53006,30.366667
BDJ84.mp4,30.6,1,7,0.0,0.0,0.0,1.0,0.157556,0.157556,0.022508,0.085957,0.105245,0.105245,0.319267,0.0,0.0,0.0,0.0,21.566667
C10FA.mp4,36.803433,4,10,1.0,1.0,0.5,1.0,0.86053,0.828889,0.501304,0.643454,0.643454,0.643454,1.0,0.471815,0.352183,0.189881,0.33796,36.036
CLB72.mp4,36.202833,5,14,0.8,0.4,0.0,1.0,0.59657,0.58387,0.226119,0.325009,0.325009,0.325009,1.0,0.697778,0.633333,0.0,0.443704,36.002633
CQ435.mp4,25.318523,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DGPAW.mp4,16.584545,2,4,1.0,0.5,0.0,1.0,0.684614,0.560915,0.627179,0.648552,0.678408,0.678408,0.936455,1.0,0.5,0.0,0.5,15.863478
FQ8FN.mp4,31.266667,4,15,1.0,1.0,0.0,1.0,0.62447,0.62142,0.419386,0.592698,0.592698,0.592698,1.0,0.669742,0.452232,0.0,0.373991,31.2
GAOV2.mp4,23.915395,2,6,1.0,0.5,0.0,1.0,0.658746,0.547755,0.52066,0.710854,0.710854,0.710854,1.0,1.0,0.5,0.0,0.5,23.07415
GLSU2.mp4,31.104564,2,3,0.5,0.5,0.0,1.0,0.617984,0.440829,0.437883,0.422617,0.422617,0.422617,1.0,0.416667,0.416667,0.0,0.277778,30.501892
