video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
0DVVD.mp4,29.696333,2,14,1.0,1.0,0.5,1.0,0.764762,0.694393,0.274561,0.479686,0.479686,0.479686,1.0,0.962121,0.839583,0.5,0.767235,29.596233
1W6YY.mp4,29.485922,1,11,1.0,0.0,0.0,1.0,0.3288,0.3288,0.113507,0.153924,0.153924,0.153924,1.0,0.205195,0.0,0.0,0.068398,28.575431
27DCQ.mp4,31.041667,1,2,0.0,0.0,0.0,1.0,0.219703,0.219703,0.144227,0.183972,0.183972,0.183972,1.0,0.0,0.0,0.0,0.0,31.0
2ADJI.mp4,24.566667,2,1,0.5,0.0,0.0,0.5,0.46119,0.4033,0.46119,0.71524,0.783106,0.89193,0.783106,1.0,0.0,0.0,0.333333,17.566667
2OREK.mp4,30.233333,1,5,1.0,0.0,0.0,1.0,0.424159,0.424159,0.25197,0.20587,0.20587,0.20587,1.0,0.588889,0.0,0.0,0.196296,29.6
3J9L5.mp4,29.8298,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3UACJ.mp4,37.961395,1,10,1.0,1.0,1.0,1.0,0.710982,0.710982,0.192938,0.123005,0.123005,0.123005,1.0,0.666667,0.833333,0.833333,0.777778,37.385709
5B9XE.mp4,32.121311,5,2,0.4,0.0,0.0,0.4,0.446278,0.40405,0.411088,0.772864,0.772864,0.772864,1.0,1.0,0.0,0.0,0.333333,31.306049
5CN21.mp4,25.333333,2,1,0.0,0.0,0.0,0.5,0.23348,0.23348,0.23348,0.23348,0.23348,0.23348,1.0,0.0,0.0,0.0,0.0,25.263158
6C0BK.mp4,30.301001,1,3,1.0,1.0,1.0,1.0,0.804152,0.804152,0.580439,0.25228,0.25228,0.25228,1.0,1.0,1.0,1.0,1.0,29.731811
