video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
00T1E.mp4,19.10828,4,2,0.5,0.0,0.0,0.5,0.431334,0.398424,0.421664,0.602729,0.602729,0.602729,1.0,0.75,0.0,0.0,0.25,18.747747
02SKC.mp4,32.2,2,12,1.0,1.0,1.0,1.0,0.893333,0.858326,0.380248,0.507986,0.524407,0.524407,0.941937,0.933333,0.791667,0.875,0.866667,31.966667
0O6RK.mp4,30.22493,8,13,1.0,0.875,0.5,1.0,0.93141,0.804277,0.659021,0.939444,0.957988,0.97981,0.957988,0.688828,0.643213,0.323864,0.551968,29.722854
2AIP4.mp4,44.778559,4,4,0.5,0.0,0.0,1.0,0.335131,0.240429,0.310911,0.70329,0.74984,0.74984,0.918888,0.375,0.0,0.0,0.125,43.144305
358JF.mp4,31.966667,2,11,1.0,1.0,1.0,1.0,0.841396,0.814722,0.224199,0.317117,0.337423,0.337423,0.840497,0.362302,0.351984,0.25,0.321429,27.166667
3MX8V.mp4,31.440761,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3XL0K.mp4,29.1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4BEZX.mp4,43.352941,10,23,0.3,0.2,0.2,0.8,0.756545,0.389444,0.266633,0.3468,0.360286,0.360286,0.902577,0.269847,0.085638,0.046591,0.134025,42.352941
65UVU.mp4,31.0,3,10,1.0,1.0,0.333333,1.0,0.946265,0.676717,0.392396,0.496505,0.496505,0.496505,1.0,0.634127,0.482804,0.212963,0.443298,30.4
7177T.mp4,30.237001,3,5,0.333333,0.333333,0.0,1.0,0.644459,0.40121,0.34651,0.352731,0.352731,0.352731,1.0,0.212963,0.111111,0.0,0.108025,29.76769
9OCQT.mp4,12.35552,2,1,0.5,0.5,0.0,0.5,0.537643,0.430097,0.537643,0.672054,0.672054,0.672054,1.0,1.0,0.5,0.0,0.5,11.159825
AF8I2.mp4,34.0,1,17,1.0,1.0,1.0,1.0,0.847922,0.847922,0.163922,0.160668,0.160668,0.160668,1.0,0.236375,0.198616,0.111111,0.182034,33.6
AT9UV.mp4,35.166667,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CXNYW.mp4,28.866667,3,8,1.0,1.0,1.0,1.0,0.952847,0.889878,0.646987,0.829807,0.829807,0.829807,1.0,0.788492,0.767593,0.588889,0.714991,28.8
D9PWE.mp4,29.294853,1,15,1.0,1.0,0.0,1.0,0.696209,0.696209,0.072469,0.173247,0.173247,0.173247,1.0,0.25,0.25,0.0,0.166667,28.860607
GH19N.mp4,27.761086,5,13,0.6,0.4,0.2,1.0,0.940127,0.458987,0.454009,0.627822,0.664469,0.664469,0.919245,0.477243,0.4,0.2,0.359081,27.400553
HDHGT.mp4,30.233103,4,11,1.0,1.0,0.75,1.0,0.732736,0.717367,0.43812,0.530137,0.530137,0.530137,1.0,0.378788,0.274621,0.170139,0.274516,28.861911
HVFXT.mp4,32.866167,1,13,1.0,1.0,1.0,1.0,0.925343,0.925343,0.146105,0.18322,0.18322,0.18322,1.0,0.442857,0.45,0.2,0.364286,32.8328
JQRMQ.mp4,27.293933,5,12,1.0,1.0,0.6,1.0,0.725292,0.673117,0.476283,0.587504,0.587504,0.587504,1.0,0.374486,0.219177,0.105238,0.232967,27.2272
JZ45I.mp4,34.070424,3,10,0.666667,0.333333,0.0,1.0,0.556757,0.460845,0.390977,0.399251,0.421289,0.421289,0.884154,0.353628,0.078704,0.0,0.144111,33.16909
K64GM.mp4,30.559999,1,15,1.0,1.0,1.0,1.0,0.747026,0.747026,0.169967,0.160859,0.160859,0.160859,1.0,0.642857,0.642857,0.142857,0.47619,29.820373
L3ZRP.mp4,30.625,2,7,1.0,1.0,0.5,1.0,0.737096,0.737096,0.374643,0.359896,0.359896,0.359896,1.0,0.461607,0.317857,0.35,0.376488,30.0
L8RW8.mp4,30.266667,2,16,0.5,0.5,0.0,1.0,0.549738,0.549738,0.051224,0.118243,0.118243,0.118243,1.0,0.25,0.25,0.0,0.166667,29.6
LKH9A.mp4,33.099733,4,8,0.75,0.5,0.25,1.0,0.752386,0.475869,0.392224,0.561176,0.561176,0.561176,1.0,0.375,0.166667,0.125,0.222222,32.799433
LSKA2.mp4,29.5,1,14,1.0,1.0,0.0,1.0,0.656146,0.656146,0.242759,0.337304,0.337304,0.337304,1.0,0.406623,0.286905,0.0,0.231176,28.766667
LSMNX.mp4,33.633333,1,17,1.0,1.0,1.0,1.0,0.74902,0.74902,0.201274,0.253227,0.253227,0.253227,1.0,0.231706,0.143981,0.0625,0.146063,33.566667
ME4YL.mp4,23.828541,6,7,0.666667,0.333333,0.0,0.833333,0.668915,0.44157,0.525043,0.716169,0.79407,0.79407,0.87952,0.607639,0.324074,0.0,0.310571,22.364217
NYHD7.mp4,30.363667,1,14,1.0,1.0,1.0,1.0,0.752683,0.752683,0.157729,0.162077,0.162077,0.162077,1.0,0.666667,0.666667,0.25,0.527778,29.596233
O1LMX.mp4,30.041667,5,12,1.0,1.0,0.4,1.0,0.916885,0.772532,0.428383,0.563216,0.563216,0.563216,1.0,0.886667,0.677222,0.25,0.60463,30.0
O5V8D.mp4,18.018,2,8,1.0,0.5,0.0,1.0,0.59172,0.59172,0.179072,0.34662,0.34662,0.34662,1.0,0.777778,0.333333,0.0,0.37037,17.017
OPSF8.mp4,30.516987,4,2,0.25,0.25,0.0,0.5,0.575534,0.543829,0.482609,0.557221,0.557221,0.557221,1.0,0.625,0.5,0.0,0.375,29.975758
P8G8V.mp4,30.266667,3,5,1.0,0.666667,0.0,1.0,0.675662,0.675662,0.352581,0.256678,0.256678,0.256678,1.0,0.638889,0.444444,0.0,0.361111,29.6
QFL2O.mp4,30.866667,2,10,1.0,0.5,0.0,1.0,0.671962,0.626389,0.132386,0.251986,0.280309,0.280309,0.713785,0.916667,1.0,0.0,0.638889,28.766667
QIT2W.mp4,43.287704,5,5,0.8,0.0,0.0,1.0,0.472168,0.391311,0.363877,0.700842,0.713364,0.713364,0.975566,0.613333,0.0,0.0,0.204444,43.227666
RG0KS.mp4,25.838241,1,9,1.0,1.0,0.0,1.0,0.516451,0.516451,0.236774,0.273415,0.273415,0.273415,1.0,1.0,1.0,0.0,0.666667,24.516284
SJJLG.mp4,16.733333,7,3,0.428571,0.142857,0.0,0.428571,0.647433,0.465317,0.46653,0.586515,0.644903,0.644903,0.866277,1.0,0.142857,0.0,0.380952,14.366667
SM41Q.mp4,19.048191,2,3,1.0,0.5,0.0,1.0,0.586302,0.478661,0.554978,0.693417,0.693417,0.693417,1.0,1.0,0.5,0.0,0.5,18.747747
TCOXG.mp4,30.2302,4,16,1.0,1.0,0.5,1.0,0.801062,0.728932,0.340954,0.468898,0.490585,0.490585,0.913845,0.547971,0.491225,0.12178,0.386992,29.6296
UKSCV.mp4,34.2,8,13,1.0,0.625,0.0,1.0,0.670267,0.607272,0.425682,0.742731,0.742731,0.742731,1.0,0.734699,0.551042,0.0,0.42858,31.64
UL5X4.mp4,31.333333,2,12,1.0,1.0,1.0,1.0,0.878661,0.850059,0.365274,0.618555,0.634415,0.634415,0.961153,0.75,0.75,0.75,0.75,31.2
VJG6E.mp4,17.333333,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
