video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
0SFYS.mp4,32.128514,1,6,1.0,0.0,0.0,1.0,0.468082,0.468082,0.146435,0.186258,0.186258,0.186258,1.0,0.5,0.0,0.0,0.166667,30.598585
13XM4.mp4,28.3,4,15,1.0,0.75,0.25,1.0,0.847922,0.761719,0.343382,0.342913,0.342913,0.342913,1.0,0.43497,0.272867,0.085714,0.264517,28.0
1F706.mp4,30.079968,5,12,0.4,0.2,0.2,0.8,0.86062,0.588145,0.21853,0.322864,0.336861,0.336861,0.885979,0.594444,0.383333,0.016667,0.331481,29.711915
1NJOQ.mp4,35.0,5,17,1.0,0.6,0.6,1.0,0.823038,0.714991,0.297939,0.435098,0.455777,0.455777,0.905571,0.339584,0.263624,0.263624,0.288944,34.366667
2443O.mp4,31.625,2,12,1.0,1.0,0.5,1.0,0.906901,0.906901,0.245659,0.235383,0.235383,0.235383,1.0,0.811111,0.538889,0.266667,0.538889,31.0
2AG8W.mp4,11.025505,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3C1ZN.mp4,30.8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3R4DD.mp4,33.1,3,18,1.0,1.0,0.0,1.0,0.684818,0.684818,0.136045,0.238143,0.246856,0.246856,0.870924,0.793056,0.466667,0.0,0.419907,32.8
4UXE3.mp4,32.9,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5EEXF.mp4,33.5,6,13,0.666667,0.5,0.333333,1.0,0.766667,0.758935,0.350983,0.393007,0.393007,0.393007,1.0,0.616071,0.542923,0.312698,0.490564,32.8
5HPZ1.mp4,33.700333,5,10,1.0,0.6,0.0,1.0,0.545676,0.533073,0.401255,0.457597,0.457597,0.457597,1.0,0.990476,0.595,0.0,0.528492,33.6336
5TYXL.mp4,30.6,1,13,1.0,1.0,1.0,1.0,0.711955,0.711955,0.099276,0.167894,0.173642,0.173642,0.835314,1.0,1.0,1.0,1.0,30.366667
727IZ.mp4,34.768067,4,7,0.75,0.5,0.25,1.0,0.862558,0.628027,0.374751,0.298802,0.298802,0.298802,1.0,0.541667,0.291667,0.25,0.361111,34.4344
7RXMM.mp4,25.117173,2,5,1.0,0.0,0.0,1.0,0.42809,0.42809,0.243477,0.326314,0.326314,0.326314,1.0,1.0,0.0,0.0,0.333333,24.516284
8HW76.mp4,32.533333,1,8,1.0,1.0,0.0,1.0,0.634902,0.634902,0.2793,0.250197,0.250197,0.250197,1.0,0.916667,0.75,0.0,0.555556,30.366667
8RU1Q.mp4,28.7,2,13,1.0,0.5,0.0,1.0,0.690854,0.690854,0.0898,0.157274,0.157274,0.157274,1.0,0.433333,0.5,0.0,0.311111,27.966667
9EEGQ.mp4,31.033333,3,15,1.0,1.0,0.666667,1.0,0.840525,0.783926,0.405292,0.526636,0.526636,0.526636,1.0,0.432297,0.299994,0.074004,0.268765,30.366667
9U82D.mp4,34.633333,2,12,1.0,1.0,0.0,1.0,0.695652,0.656515,0.35181,0.439062,0.459484,0.459484,0.908079,0.630556,0.6125,0.0,0.414352,34.4
A9YQJ.mp4,32.958217,3,14,0.666667,0.666667,0.333333,1.0,0.802492,0.802492,0.118086,0.272319,0.288836,0.288836,0.826451,1.0,1.0,1.0,1.0,32.05571
D4D2T.mp4,23.735128,4,7,1.0,0.75,0.0,1.0,0.638955,0.539256,0.553664,0.810935,0.878618,0.878618,0.913247,1.0,0.645833,0.0,0.548611,23.07415
DPLMM.mp4,15.233533,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EFADI.mp4,19.829347,1,6,1.0,1.0,0.0,1.0,0.505427,0.505427,0.419997,0.309412,0.309412,0.309412,1.0,0.926667,0.166667,0.0,0.364444,18.747747
ETDTU.mp4,12.349515,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FTYFA.mp4,30.4,5,14,0.8,0.8,0.4,0.8,0.769388,0.750245,0.211706,0.297527,0.297527,0.297527,1.0,0.688571,0.688571,0.54,0.639048,29.566667
