video,original_video_duration_seconds,n_targets,n_predictions,recall_0.3,recall_0.5,recall_0.7,overlap_anywhere_recall,best_iou,mean_target_best_iou,mean_predicted_best_iou,temporal_set_iou,overlap_over_max,duration_precision,duration_recall,ap_0.3,ap_0.5,ap_0.7,mAP,predicted_total_duration_seconds
0TKKR.mp4,44.160942,6,4,0.666667,0.166667,0.0,0.666667,0.534531,0.403281,0.413377,0.694963,0.724262,0.724262,0.944992,0.666667,0.333333,0.0,0.333333,43.179588
0WYBK.mp4,15.565755,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15PMU.mp4,30.910918,5,7,0.6,0.4,0.4,1.0,0.905791,0.756564,0.411498,0.543154,0.656124,0.656124,0.759303,0.479365,0.397143,0.397143,0.42455,26.490288
17P5V.mp4,30.636402,2,15,1.0,1.0,0.5,1.0,0.886599,0.785808,0.331981,0.409418,0.409418,0.409418,1.0,0.916667,1.0,0.5,0.805556,30.044562
1BBIY.mp4,26.666667,3,7,1.0,0.333333,0.0,1.0,0.59329,0.484628,0.419968,0.691986,0.691986,0.691986,1.0,0.75873,0.083333,0.0,0.280688,25.6
1GGRY.mp4,21.081117,2,3,1.0,0.5,0.0,1.0,0.563018,0.502529,0.487272,0.703908,0.703908,0.703908,1.0,0.916667,0.166667,0.0,0.361111,15.201123
1GII3.mp4,28.7,3,3,0.0,0.0,0.0,0.333333,0.26237,0.26237,0.087457,0.224888,0.224888,0.224888,1.0,0.0,0.0,0.0,0.0,28.0
1W6ZK.mp4,32.933333,5,16,0.8,0.8,0.6,1.0,0.804943,0.758391,0.502734,0.68931,0.68931,0.68931,1.0,0.753505,0.75631,0.466667,0.658827,32.8
2UQKZ.mp4,35.47501,2,14,1.0,1.0,0.0,1.0,0.675261,0.64775,0.352825,0.582196,0.582196,0.582196,1.0,0.565361,0.28484,0.0,0.2834,32.125151
4A28I.mp4,29.533333,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62AC0.mp4,9.009,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6H78U.mp4,34.498386,1,18,1.0,1.0,1.0,1.0,0.958759,0.958759,0.197658,0.373747,0.373747,0.373747,1.0,1.0,1.0,1.0,1.0,33.988557
93REJ.mp4,30.8,1,11,1.0,1.0,1.0,1.0,0.844695,0.844695,0.277937,0.233796,0.233796,0.233796,1.0,1.0,1.0,1.0,1.0,30.366667
